tstidn,expidn,unique,agepar,region,expsit,gender,poccup,religr,politr,pedlev,fedlev,stbbu1,stbbu2,stbbu3,stbbu4,stbbu5,stbbu6,stbbu7,stbbu8,stbse1,stbse2,stbse3,stbse4,stbse5,stbse6,nssgv1,nssgv2,nssgv3,nssgv4,nssgv5,nssgv6,nssgv7,nsssc1,nsssc2,nsssc3,nsssc4,nsssc5,nsssc6,probl1,probl2,probl3,probl4,probl5,crt1ty,crt2ty,crt3ty,crt4ty,crt5ty,crt6ty,crt7ty,crt1co,crt2co,crt3co,crt4co,crt5co,crt6co,crt7co,crtsco,sapps1,sapps2,sapps3,sapps4,sapco1,sapco2,sapco3,sapco4,sappa1,sappa2,sappa3,sappa4,sapsc1,sapsc2,sapsc3,sapsc4,num1nu,num2nu,num3nu,num1rf,num2rf,num3rf,num1di,num2di,num3di,relitx,politx,crt1tx,crt2tx,crt3tx,crt4tx,crt5tx,crt6tx,crt7tx,num1tx,num2tx,num3tx,expidt,timest
12,12,1 UN,20,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,2,3,4,2,3,4,4,2,2,2,4,4,4,2,3,3,3,4,4,5,5,1,2,1,1,2,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0012,28/08/2023 13:25:11
13,13,1 UN,20,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,1,1,2,1,1,2,3,4,2,1,1,4,3,4,3,3,3,2,3,9,2,2,2,2,2,2,2,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0013,28/08/2023 13:28:04
14,14,1 UN,20,1,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,3,3,3,4,3,3,4,3,4,4,3,3,3,4,4,4,4,4,5,4,4,3,1,3,3,3,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0014,28/08/2023 13:31:29
15,15,1 UN,21,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,3,2,2,2,3,2,2,3,4,4,4,4,4,4,3,4,3,4,5,4,4,3,1,1,3,2,5,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0015,28/08/2023 13:52:05
16,17,2 DU,23,2,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,5,5,4,4,5,3,1,2,3,3,2,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0017,28/08/2023 13:50:55
17,17,2 DU,24,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,4,2,4,2,4,3,4,4,4,4,4,4,4,4,2,4,1,3,3,3,3,1,1,1,1,1,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0017,28/08/2023 13:56:01
18,19,1 UN,22,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,3,2,1,1,4,3,1,3,4,2,4,4,4,3,3,3,4,4,4,4,4,1,1,1,2,2,2,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0019,28/08/2023 14:46:29
19,20,1 UN,28,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,3,4,3,4,4,4,4,3,4,3,4,4,4,2,3,4,5,4,4,5,5,5,2,1,1,2,4,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0020,28/08/2023 14:54:48
20,21,1 UN,20,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,4,2,1,1,2,3,2,3,2,3,9,1,1,3,3,3,4,3,4,3,4,3,2,4,3,4,3,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0021,28/08/2023 15:15:09
21,22,1 UN,26,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,3,1,1,1,2,1,1,1,3,9,3,4,3,1,3,1,4,5,1,3,3,1,1,1,1,1,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0022,28/08/2023 15:14:59
22,23,1 UN,25,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,1,1,1,1,2,1,1,1,3,2,1,3,4,2,3,4,2,5,3,5,3,1,1,1,1,3,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0023,30/08/2023 15:31:42
23,24,1 UN,18,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,3,3,2,2,3,4,2,3,4,3,3,4,3,4,2,3,2,3,3,5,4,1,1,1,1,4,9,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0024,30/08/2023 15:25:34
24,26,1 UN,18,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,1,3,2,3,2,3,2,3,4,3,4,4,3,3,3,3,3,4,4,4,5,3,2,4,2,3,2,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0026,30/08/2023 15:25:35
25,27,1 UN,18,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,2,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,3,5,4,4,5,3,1,1,3,3,2,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0027,30/08/2023 15:26:18
26,29,2 DU,19,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,3,2,1,3,4,2,2,1,4,3,3,4,4,4,3,3,3,3,3,3,3,2,2,2,3,3,2,1,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0029,30/08/2023 15:35:32
27,29,2 DU,18,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,4,2,2,2,2,2,4,3,4,4,2,4,4,4,4,3,4,4,3,4,4,2,2,2,2,2,2,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0029,30/08/2023 15:47:30
28,30,1 UN,20,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,3,2,2,1,2,2,3,3,3,3,4,4,3,4,3,2,3,4,5,4,4,2,1,1,2,2,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0030,30/08/2023 15:46:25
29,31,1 UN,29,15,1 PI,1 FE,3 PC,9 NA,9 NA,9 NA,9 NA,2,3,2,3,3,2,2,3,4,3,3,4,4,3,3,3,4,4,5,5,4,3,2,2,2,2,3,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0031,30/08/2023 16:23:56
30,32,1 UN,23,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,2,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,5,3,3,2,1,1,2,1,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0032,30/08/2023 17:28:10
31,33,1 UN,22,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,1,1,2,2,2,1,1,3,2,4,3,4,4,3,3,2,2,2,3,2,2,2,1,1,1,1,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0033,30/08/2023 17:40:15
32,34,1 UN,18,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,3,2,2,3,2,1,1,4,4,3,1,3,4,3,3,3,1,3,2,3,4,1,1,2,1,2,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0034,30/08/2023 17:40:34
33,35,1 UN,18,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,2,3,1,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2,4,3,3,2,1,2,1,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0035,30/08/2023 17:45:09
34,36,1 UN,27,15,1 PI,1 FE,2 IW,9 NA,9 NA,9 NA,9 NA,3,3,4,2,3,2,1,4,4,4,1,4,2,4,3,2,2,5,3,5,5,2,2,2,2,3,1,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0036,30/08/2023 18:24:30
35,37,1 UN,26,15,1 PI,1 FE,4 TC,9 NA,9 NA,9 NA,9 NA,3,2,1,1,2,3,2,9,4,1,1,4,3,4,4,4,3,4,4,5,3,2,1,1,3,3,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0037,30/08/2023 18:23:03
36,38,1 UN,19,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,1,1,2,1,1,1,2,2,3,2,4,3,3,3,4,3,4,5,3,4,4,3,2,1,2,3,1,0,0,0,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0038,30/08/2023 18:22:29
37,39,1 UN,27,15,1 PI,1 FE,3 PC,9 NA,9 NA,9 NA,9 NA,3,3,1,4,3,3,3,4,4,3,3,4,2,4,3,4,5,5,4,4,4,2,1,2,3,3,3,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0039,30/08/2023 18:37:40
38,40,1 UN,27,15,1 PI,1 FE,4 TC,9 NA,9 NA,9 NA,9 NA,3,3,2,2,3,2,3,3,3,2,2,2,3,3,4,4,4,5,4,5,5,2,2,2,3,3,2,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0040,30/08/2023 19:02:22
39,41,1 UN,25,15,1 PI,2 MA,4 TC,9 NA,9 NA,9 NA,9 NA,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,1,2,2,3,2,0,0,0,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0041,30/08/2023 19:33:59
40,42,1 UN,29,15,1 PI,2 MA,4 TC,9 NA,9 NA,9 NA,9 NA,1,1,1,2,2,1,1,2,4,3,3,3,3,4,3,3,3,4,2,5,3,2,1,2,3,2,1,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0042,31/08/2023 11:17:38
41,43,1 UN,25,15,1 PI,1 FE,2 IW,9 NA,9 NA,9 NA,9 NA,3,1,4,2,3,2,2,4,4,2,4,4,4,3,4,4,3,5,3,5,5,2,3,2,2,3,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0043,31/08/2023 11:16:00
42,44,1 UN,19,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,1,1,2,2,3,3,2,2,4,2,4,3,4,1,3,4,3,4,4,3,4,1,1,1,1,1,1,0,0,0,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0044,31/08/2023 12:45:06
43,45,1 UN,26,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,2,1,2,3,4,3,2,3,4,3,2,4,4,4,4,4,3,5,4,4,4,4,1,3,2,2,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0045,31/08/2023 12:48:28
44,46,1 UN,20,15,1 PI,3 NB,1 ST,9 NA,9 NA,9 NA,9 NA,2,2,2,1,2,2,2,3,4,4,4,4,4,3,3,2,2,2,3,4,9,2,1,2,2,2,3,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0046,31/08/2023 12:43:19
45,47,1 UN,18,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,1,2,2,1,2,2,2,2,4,3,4,3,4,4,3,3,3,4,3,4,3,3,1,3,2,3,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0047,31/08/2023 13:16:31
46,48,1 UN,18,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,3,1,2,1,2,1,2,1,4,3,4,4,4,2,3,3,4,5,4,3,4,1,1,1,3,3,1,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0048,31/08/2023 13:54:14
47,49,1 UN,18,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,2,3,3,2,2,3,2,3,4,4,2,4,4,4,9,3,4,9,5,2,4,5,1,1,2,2,2,0,0,0,0,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0049,31/08/2023 14:00:09
48,50,1 UN,18,15,1 PI,1 FE,1 ST,9 NA,9 NA,9 NA,9 NA,2,2,2,2,2,3,3,3,3,2,1,4,3,3,4,5,4,5,4,5,5,3,4,2,3,3,3,1,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0050,31/08/2023 13:58:15
49,51,1 UN,28,15,1 PI,2 MA,1 ST,9 NA,9 NA,9 NA,9 NA,2,3,3,3,4,2,4,3,4,2,3,4,4,3,3,4,2,3,3,4,3,1,1,2,3,2,2,0,0,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0051,31/08/2023 14:45:42
50,52,1 UN,21,12,2 PA,1 FE,1 ST,1 CA,3 RW,2 EM,3 ET,1,1,1,1,4,1,1,2,3,2,2,2,2,2,3,3,2,4,3,5,3,1,1,1,1,2,1,0,0,0,1,0,3,1,1,4,4,4,1,0,0,0,1,1,1,0,3,2,1,1,1,3,4,1,5,1,1,2,2,5,5,3,5,500000,850,165,144938,919,155,355062,69,10,"soy católica, pero en realidad no soy apegada a la iglesia ",centro derecha ,10,200,en la mitad del tiempo ,en segundo lugar,8 ovejas ,emilio,1 metro cubico ,500.000 personas ,850 pesos chilenos ,165,0052,10/10/2023 16:18:05
51,53,1 UN,19,12,2 PA,2 MA,1 ST,5 AG,5 NO,2 EM,4 EU,2,4,3,3,4,2,2,3,4,4,2,4,3,3,3,3,2,4,4,5,4,2,1,1,2,2,1,0,0,0,0,1,3,3,4,3,4,3,1,0,0,1,0,1,0,0,2,2,1,4,3,4,4,4,5,2,3,5,3,5,5,4,5,200000,1060,56,144938,919,155,55062,141,99,Agnóstico,No me he metido en el tema de la politica y no tengo referentes,10 pesos,Una hora y cuarenta minutos,47 horas,Primero,8 Ovejas,Julio,9 m,Cerca de 200.000,1060,56,0053,10/10/2023 18:09:41
